GRANULE_ID,PRODUCT_ID,DATATAKE_IDENTIFIER,MGRS_TILE,SENSING_TIME,TOTAL_SIZE,CLOUD_COVER,GEOMETRIC_QUALITY_FLAG,GENERATION_TIME,NORTH_LAT,SOUTH_LAT,WEST_LON,EAST_LON,BASE_URL
L1C_T34TDM_A018437_20190102T093401,S2A_MSIL1C_20190102T093401_N0207_R136_T34TDM_20190102T100538,GS2A_20190102T093401_018437_N02.07,34TDM,2019-01-02T09:38:50.580000Z,781896751,83.9205,,2019-01-02T10:05:38.000000Z,42.45276788409956,41.45760533794017,19.78339462668537,21.118572913936227,gs://gcp-public-data-sentinel-2/tiles/34/T/DM/S2A_MSIL1C_20190102T093401_N0207_R136_T34TDM_20190102T100538.SAFE
L1C_T34TDL_A018437_20190102T093401,S2A_MSIL1C_20190102T093401_N0207_R136_T34TDL_20190102T100538,GS2A_20190102T093401_018437_N02.07,34TDL,2019-01-02T09:39:05.060000Z,872759353,6.0285,,2019-01-02T10:05:38.000000Z,41.55192163888785,40.55679702954411,19.800430497299637,21.11691208794176,gs://gcp-public-data-sentinel-2/tiles/34/T/DL/S2A_MSIL1C_20190102T093401_N0207_R136_T34TDL_20190102T100538.SAFE
L1C_T34TEK_A018437_20190102T093401,S2A_MSIL1C_20190102T093401_N0207_R136_T34TEK_20190102T100538,GS2A_20190102T093401_018437_N02.07,34TEK,2019-01-02T09:39:15.380000Z,556964464,0.3533,,2019-01-02T10:05:38.000000Z,40.6509465300432,39.66043626532447,20.99964480194382,21.895224386853528,gs://gcp-public-data-sentinel-2/tiles/34/T/EK/S2A_MSIL1C_20190102T093401_N0207_R136_T34TEK_20190102T100538.SAFE
L1C_T34TDK_A018437_20190102T093401,S2A_MSIL1C_20190102T093401_N0207_R136_T34TDK_20190102T100538,GS2A_20190102T093401_018437_N02.07,34TDK,2019-01-02T09:39:19.360000Z,878780575,0.1094,,2019-01-02T10:05:38.000000Z,40.65093382342741,39.655842773435886,19.8167086885318,21.115325126128145,gs://gcp-public-data-sentinel-2/tiles/34/T/DK/S2A_MSIL1C_20190102T093401_N0207_R136_T34TDK_20190102T100538.SAFE
L1C_T34TDL_A009557_20190104T092358,S2B_MSIL1C_20190104T092359_N0207_R093_T34TDL_20190104T112226,GS2B_20190104T092359_009557_N02.07,34TDL,2019-01-04T09:29:13.460000Z,116031304,84.0521,,2019-01-04T11:22:26.000000Z,41.55189776609629,40.56264655664273,20.787723227079542,21.11691208794176,gs://gcp-public-data-sentinel-2/tiles/34/T/DL/S2B_MSIL1C_20190104T092359_N0207_R093_T34TDL_20190104T112226.SAFE
L1C_T34TDK_A009557_20190104T092358,S2B_MSIL1C_20190104T092359_N0207_R093_T34TDK_20190104T112226,GS2B_20190104T092359_009557_N02.07,34TDK,2019-01-04T09:29:26.380000Z,245044905,99.0807,,2019-01-04T11:22:26.000000Z,40.650940566451425,39.66067787250223,20.512112352691194,21.115325126128145,gs://gcp-public-data-sentinel-2/tiles/34/T/DK/S2B_MSIL1C_20190104T092359_N0207_R093_T34TDK_20190104T112226.SAFE
L1C_T34TDM_A018480_20190105T094545,S2A_MSIL1C_20190105T094401_N0207_R036_T34TDM_20190105T114123,GS2A_20190105T094401_018480_N02.07,34TDM,2019-01-05T09:48:43.290000Z,85011271,16.3336,,2019-01-05T11:41:23.000000Z,42.44881652727187,41.78107570182164,19.783394354172447,20.046739965530307,gs://gcp-public-data-sentinel-2/tiles/34/T/DM/S2A_MSIL1C_20190105T094401_N0207_R036_T34TDM_20190105T114123.SAFE
L1C_T34TDM_A009600_20190107T093357,S2B_MSIL1C_20190107T093359_N0207_R136_T34TDM_20190107T100225,GS2B_20190107T093359_009600_N02.07,34TDM,2019-01-07T09:38:54.920000Z,836356508,50.2015,,2019-01-07T10:02:25.000000Z,42.45276788409956,41.45760533794017,19.78339462668537,21.118572913936227,gs://gcp-public-data-sentinel-2/tiles/34/T/DM/S2B_MSIL1C_20190107T093359_N0207_R136_T34TDM_20190107T100225.SAFE
L1C_T34TDL_A009600_20190107T093357,S2B_MSIL1C_20190107T093359_N0207_R136_T34TDL_20190107T100225,GS2B_20190107T093359_009600_N02.07,34TDL,2019-01-07T09:39:09.400000Z,869705515,33.3474,,2019-01-07T10:02:25.000000Z,41.55192163888785,40.55679702954411,19.800430497299637,21.11691208794176,gs://gcp-public-data-sentinel-2/tiles/34/T/DL/S2B_MSIL1C_20190107T093359_N0207_R136_T34TDL_20190107T100225.SAFE
L1C_T34TEK_A009600_20190107T093357,S2B_MSIL1C_20190107T093359_N0207_R136_T34TEK_20190107T100225,GS2B_20190107T093359_009600_N02.07,34TEK,2019-01-07T09:39:19.730000Z,375461108,98.0468,,2019-01-07T10:02:25.000000Z,40.6509465300432,39.66045710301411,20.99964480194382,21.889074781181407,gs://gcp-public-data-sentinel-2/tiles/34/T/EK/S2B_MSIL1C_20190107T093359_N0207_R136_T34TEK_20190107T100225.SAFE
L1C_T34TDK_A009600_20190107T093357,S2B_MSIL1C_20190107T093359_N0207_R136_T34TDK_20190107T100225,GS2B_20190107T093359_009600_N02.07,34TDK,2019-01-07T09:39:23.710000Z,821869940,51.0064,,2019-01-07T10:02:25.000000Z,40.65093382342741,39.655842773435886,19.8167086885318,21.115325126128145,gs://gcp-public-data-sentinel-2/tiles/34/T/DK/S2B_MSIL1C_20190107T093359_N0207_R136_T34TDK_20190107T100225.SAFE
L1C_T34TDL_A018537_20190109T092345,S2A_MSIL1C_20190109T092351_N0207_R093_T34TDL_20190109T095515,GS2A_20190109T092351_018537_N02.07,34TDL,2019-01-09T09:29:10.660000Z,102244609,100.0,,2019-01-09T09:55:15.000000Z,41.55189912522935,40.56264486417182,20.78631010637733,21.11691208794176,gs://gcp-public-data-sentinel-2/tiles/34/T/DL/S2A_MSIL1C_20190109T092351_N0207_R093_T34TDL_20190109T095515.SAFE
